dates,oahuoahu0023_0001,oahuoahu0023_0002,oahuoahu0023_0003,oahuoahu0023_0004,oahuoahu0023_0005,oahuoahu0023_0006,oahuoahu0023_0007,oahuoahu0023_0008,oahuoahu0023_0009,oahuoahu0023_0010,oahuoahu0023_0011,oahuoahu0023_0012,oahuoahu0023_0013,oahuoahu0023_0014,oahuoahu0023_0015,oahuoahu0023_0016,oahuoahu0023_0017,oahuoahu0023_0018,oahuoahu0023_0019,oahuoahu0023_0020,oahuoahu0023_0021,oahuoahu0023_0022,oahuoahu0023_0023,oahuoahu0023_0024,oahuoahu0023_0025,oahuoahu0023_0026,oahuoahu0023_0027,oahuoahu0023_0028,oahuoahu0023_0029,oahuoahu0023_0030,oahuoahu0023_0031,oahuoahu0023_0032,oahuoahu0023_0033,oahuoahu0023_0034,oahuoahu0023_0035,oahuoahu0023_0036,oahuoahu0023_0037,oahuoahu0023_0038,oahuoahu0023_0039,oahuoahu0023_0040,oahuoahu0023_0041,oahuoahu0023_0042,oahuoahu0023_0043,oahuoahu0023_0044,oahuoahu0023_0045,oahuoahu0023_0046,oahuoahu0023_0047,oahuoahu0023_0048,oahuoahu0023_0049,oahuoahu0023_0050,oahuoahu0023_0051,oahuoahu0023_0052,oahuoahu0023_0053,oahuoahu0023_0054,oahuoahu0023_0055,oahuoahu0023_0056,oahuoahu0023_0057,oahuoahu0023_0058,oahuoahu0023_0059,oahuoahu0023_0060,oahuoahu0023_0061,oahuoahu0023_0062,oahuoahu0023_0063,oahuoahu0023_0064,oahuoahu0023_0065
2017-03-07 20:22:36.000,41.90171015602593,29.348128101863576,21.11969087468377,21.41761280606836,21.4990518995168,20.592396489988307,22.832866613459,16.77734973803449,20.00113848415217,20.91885339874917,21.12788385952796,23.53844175119996,21.86634167119972,21.952099962510665,19.922686735074542,21.50922159720724,21.3279033833146,23.687478366380983,25.45963513099554,28.594616515174835,33.38900005806563,28.109321729980845,19.202163283640125,15.843211959262243,21.127576099947845,27.57472791486172,30.539324749934284,19.366825052255013,12.880684667083356,12.205624774449362,13.441884094724111,13.976225074525969,17.638619886271645,23.680552283142625,27.88971598656845,28.9193836319918,23.002640535004254,22.694642818155,22.439695436228,18.40861960214821,17.581832083049388,18.30675291718432,13.390982769591394,10.55159475290157,11.69663289424704,12.9743823490721,9.649933359404343,12.904632832010575,18.84675067066826,18.355854554991616,18.323533139556428,17.473220218735825,16.228842540060622,18.59607399008437,19.40177485485159,19.293146225814176,21.38457234063874,19.01722385949968,19.33296374854295,19.441793870522925,18.72924130788864,19.818857010412827,18.98853476592044,17.39815743634394,26.88000024029489
2017-03-22 20:22:19.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3165677551656687,1.4232608443553705,3.7554128074461848,7.976392542299372,5.552241385272858,7.5296394740633374,12.819232787316018,13.021531996521958,12.954676397859537,11.290414511987798,11.476558148255792,17.35166697433878,19.179673146925907,19.61273782900632,20.50225342850421,15.186661986317809,14.44963806776683,13.250532058119232,13.619037895140815,13.600415110949877,14.822564800112444,13.532549285693596,25.287715078411697
2017-06-01 01:33:24.000,35.890553029954035,40.99390338358039,,,11.398858114490691,10.841291449749937,7.967665076148774,7.214171450959484,13.02838352996709,9.641101693626595,7.519420425974524,7.6135096366753885,8.737216808451015,8.408028608072115,9.764831062721427,8.923790105248937,7.098027745465146,8.339412708677626,10.626714703717854,14.049291577023956,15.630859197305336,9.285622470303576,2.134702203710221,5.489645564444293,15.258083631561282,31.844213554508062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.03825787918648,9.361922921757904,18.50039128061944,26.05496050953469,13.24041370765568,13.68993386911332,
2017-06-16 20:19:32.000,34.197802335357494,18.39680394472628,14.180645601739831,14.22522382813836,15.924484522413334,13.173040203046316,13.299624759558272,9.753430631695972,10.69078204889978,8.821901226887956,8.532993991618113,8.047735317361152,11.110705459728583,13.876721378524753,15.00718956540524,12.335284730436156,13.677613421137067,14.637880854756853,15.133192008733229,21.31475001604925,19.96562832952516,17.860655863927605,14.917589374401569,13.849975531657172,21.047487231810507,30.228632022231107,,28.372373434972346,21.36740911967683,18.90679207141988,23.20709735554792,22.36494692171313,25.27182373458741,26.924062454915923,33.09494540605116,35.90083560326845,28.621611342583503,24.26369536630869,21.938308892211804,16.62318060489465,16.021622701852102,17.537602216553815,15.489720158402475,7.165022063545505,9.713665138782344,12.779709008550782,9.2774755346793,8.151058071638145,9.266566344316438,8.412321487705176,8.232477334761654,7.649356172069076,6.768315169706646,13.897368855661435,18.52060484097211,20.041284802384748,15.971565547297356,14.378899489583372,13.540733832807405,14.33575707914418,13.135444701463411,15.5598154123694,12.750785752727989,12.685233704442348,30.774146371296496
2017-06-24 17:03:27.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.887426249265808,27.932772536329377,32.2398881844204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-24 17:03:28.000,34.5939475227814,25.11724103011394,17.270116981326172,17.432550656594998,16.837200724748936,16.293310501107424,16.420024923057557,12.805027336651111,15.324475205840129,11.81041679944368,11.6750984293999,11.265701787865318,14.314455553822182,17.133854629067184,18.779469103272792,14.235075953924865,13.046029285172295,13.287267139468888,16.464746681326584,22.064531334033624,20.489525833655065,19.791359906257423,13.491712194044272,13.98123971683441,17.714880406937016,27.10722320273648,33.39191047287274,13.76562297779726,18.041479477269,19.14037972237281,21.42243838357003,21.705277301492305,23.97655330760392,27.96048964945997,30.226640472413653,36.38311454157132,30.85979137608881,35.70588127415207,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-24 20:19:20.000,52.57972546936176,47.37162126759656,32.11608529030554,26.59500111052412,23.488931177483504,23.53407752114586,27.26213364579815,27.285505194794585,30.26601181217456,22.19431743986651,19.97055522800619,21.659402933026467,24.68052333262277,30.03748105942333,,,38.61699113641205,32.69392635402696,36.43977601947719,38.471703550938265,35.97975287273436,27.754469167889763,22.94880408467566,23.331546243574028,26.14653420039072,37.89034594632343,43.50802762633892,30.750724203422347,23.74834996416187,21.400173514975844,21.6356285793914,22.55558541232319,24.91739217273802,28.564560133352824,30.12545141341656,30.76965266687566,23.863681965302145,22.10922733735116,18.17243418025526,14.420135855251536,13.6900646756341,16.52363126848886,18.10754334708745,12.457312623364826,10.258927315844875,11.31593675028239,8.861460975415161,15.751108288817456,31.46488916634632,23.59601089604511,23.352722378092245,38.40001595731227,8.399953018256546,21.88238317465005,33.90577966611363,37.54537326768383,24.228345585522728,17.08931860515207,16.708149272720732,15.313693902635416,15.56483150152683,18.83567338870493,19.663888370240027,19.997480315193084,42.604269218897095
2017-06-24 20:19:21.000,,,,,,,,,,,,,,25.12237760215853,,,35.493502564979494,32.71046003674326,39.596240696958425,,,,,,,,45.35956818863492,28.24164788516155,21.947932371251632,19.890101101462083,20.50993955965415,21.344482832618123,24.33406525799253,27.95117365555261,30.082344484621444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-25 20:19:25.000,,46.13576040841104,28.8244141564948,22.72400834885379,20.621211596845253,19.94601886394257,25.50139974602762,25.389588366918822,30.21621851717351,19.75765420010652,15.446843104230602,19.381964385576108,21.050724777441708,28.199616554110587,,,23.42886838036021,27.964562404421216,33.96547496921331,32.21043299858187,31.94656795016544,23.75810466498053,16.712069133720934,18.58094963052616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.805043517122694,15.30730615838467,29.260883640754138,39.62820294666634,27.378193852540264,45.12418032407288
2017-06-28 20:19:09.000,44.29388493310229,41.47700021888783,22.13807031783938,20.76057128024501,20.46152837493325,17.651600567696843,19.36897601052702,16.843084454600522,20.447730831132056,12.948132570663862,12.865610263771918,13.04835297949607,16.07176645965805,16.120079378926647,36.18578791586103,44.19512526048026,19.077286996557977,22.7435967595593,24.37072159131666,23.3711069640758,24.97086688786189,20.145748549248783,18.348572420079737,19.269104727200432,28.011485059192243,32.66266601327922,31.98420135439926,24.343219944070235,19.04557875505244,17.754521851176627,22.49307898006798,22.95874742846267,25.74692742493825,28.14096696384078,35.29920069738442,36.89372396923572,31.09102262747429,32.761207328879365,29.40560063228187,26.156382357956563,27.62458933427692,28.068657292567107,26.73643723285149,14.220112105966814,14.92349126985756,13.627534746863976,14.431053670974974,18.3053946133168,22.90955018412832,18.562214913594527,17.107035145601984,13.772950896767544,10.194885758229068,19.81085856405919,34.96787591763699,28.683066244939702,20.96652391800344,17.40594783538203,16.894411075848133,16.758280272495973,15.22033466875037,15.57447293172612,15.166280748718938,14.931040387218944,31.391593565557457
