transect,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
oahu0012_0001,-0.9789574567172951,-25.273846547773843,-5.880574658392625,24.99861314459433,16.575412097266597,-12.186667575405625,-6.326787700939947,3.440373139230488,-2.517513605166324,-6.4366921920936475,5.00895792157946,8.043608610034422,
oahu0012_0002,7.771844795290949,-4.590006944596757,0.4757263731878294,16.964195342670145,14.144310871955343,-6.510809813864051,-4.915410497917835,-0.7960414659587498,-11.159342999427224,-10.626741508386079,4.03001190868298,8.775651151339689,
oahu0012_0003,7.492806985795782,-5.3745018227531975,0.17374374670294748,19.13747360623506,16.743180974604208,-8.506093495712987,-5.987939058136169,-2.291781728120215,-13.141809214336618,-11.833914241385774,2.825035897104593,6.832824796165887,
oahu0012_0004,-4.040399829953204,2.002272537423283,10.08991989217367,20.96163548773827,9.692952220549707,-10.788368154673813,-9.015374781663544,-2.772906141704287,-11.753064335706753,-10.637020493204316,2.8461304990427214,5.382228186300006,
oahu0012_0005,-6.110948675718615,-0.2743726496866153,11.28114178156973,22.76867638727432,10.005490959689709,-10.497031379980426,-9.508400038029135,-2.468319958811229,-11.795579701981907,-9.589409701764604,5.184071203444522,6.515836260472111,
oahu0012_0006,-5.504783582105306,0.11915418988232233,12.691681375822219,23.223663196249117,9.563189958669248,-10.940021440702033,-9.364284657889481,-3.234762100640092,-11.47577608448649,-8.10005674995891,7.275278262166418,7.752405632077444,
oahu0012_0007,-7.3630940826053095,1.2113912376163665,12.175518981412525,21.825786754290306,10.388466439936149,-9.163357541527956,-10.770420954775267,-4.659616019135048,-11.675975829712504,-7.782150127724419,9.111304847466583,9.536836546393335,
oahu0012_0008,-7.3560809943990275,0.08712687692127759,11.608204890017246,22.005239969569388,12.679147296272149,-8.483693092379623,-10.575065854042684,-4.006912852518093,-9.699500598389704,-7.630876567709383,6.472380116189873,6.171669201603185,
oahu0012_0009,-7.2110999377066785,1.0564996983268975,11.724535088787981,19.885827146761866,9.408133014287602,-8.45255587134879,-10.380616669896515,-4.015294202729494,-9.087062329832944,-7.695931055390436,5.809949683148751,5.212212962837044,
oahu0012_0010,-7.9880630269294155,-0.8110478311543093,11.711341823645503,21.862074601930154,10.362280630162635,-9.740162077733299,-11.234611502032783,-3.2173491791694113,-7.1019513524237565,-6.509361761725154,4.986920982491205,4.093695371973161,
oahu0012_0011,-8.15467371305485,0.821237568932027,12.41595614205569,21.618614729021765,8.726438855602815,-9.415688961443655,-10.10377799220175,-2.178055986221035,-6.644194749908957,-6.414930801589524,7.099557615434673,6.799063744215807,
oahu0012_0012,-6.875955584370166,1.0872964818288695,12.540794268709371,20.54772926333697,5.569597852050106,-9.973414988160192,-10.158176375766125,-0.7754597124055528,-4.527551788957889,-4.064134848895497,6.262393494479047,4.988186642832307,
oahu0012_0013,-5.168704474057476,-3.1864318437401424,7.874173567317563,14.046751831126251,1.9753494579200097,-8.120450517466548,-6.832316089096666,-1.4761492347336576,-2.8576397552637225,-1.848523512237677,6.0089083573083615,6.0422801683745,
